Geladeira;preco;preco_desconto;parcelas;valor_parcela
Geladeira Frost Free Electrolux DF44 402 Litros Duplex Branca 110V;3.699,00;2.609,10;12;241,58
Geladeira Frost Free Electrolux DF44 402 Litros Duplex Branca 110V;3.699,00;2.609,10;12;241,58
Refrigerador Electrolux Frost Free 371 Litros Branco DFN41 - 220 Volts;3.358,00;2.378,30;12;233,17
Geladeira Consul Degelo Seco 261 litros Branca com Gavetão Hortifruti;1.780,00;1.670,00;12;139,17
Geladeira Frost Free Electrolux TF55S 431 Litros Duplex Top Freezer Platinum 110V;3.999,00;3.149,10;12;291,58
Geladeira Panasonic Frost Free Inverter 2 Portas BB53 425 Litros Black Glass 110V;4.799,00;3.959,10;12;366,58
Refrigerador Consul 261 Litros 1 Porta Degelo Seco Classe A CRA30F;2.126,90;1.419,00;10;152,58
Geladeira Side Inverse com Ice Maker Brastemp 540 Litros Frost Free Inox BRO80AK - 110V;6.399,00;6.399,00;1;6.399,00
Geladeira panasonic 2 portas bt50 branca 435l - 127v;2.699,00;2.699,00;1;2.699,00
Geladeira Consul Frost Free 300 litros Branca com Freezer Supercapacidade;1.949,00;1.809,00;12;150,75
Geladeira Brastemp Frost Free Duplex 400 litros Branca com Freeze Control BRM54 127V;3.332,80;2.832,88;12;277,73
Geladeira/Refrigerador Top Freezer 474L Platinum (DF56S);5.549,00;4.091,07;12;366,58
Geladeira panasonic 2portas bt55 aço escovado 483l - 127v;3.691,91;3.138,12;12;307,66
Refrigerador de 02 Portas Panasonic Frost Free com 435 Litros com Degelo Automático Aço Escovado - NR-BT50BD3X;3.799,00;3.369,43;12;280,79
Geladeira Frost Free Electrolux Top Freezer 382L com Dispenser de Água (TW42S);4.049,00;2.975,07;12;266,58
Geladeira/Refrigerador Electrolux Frost Free;3.499,00;3.099,00;10;309,90
Refrigerador 460 Litros 2 Portas RT46K6A4KS9/FZ Frost Free Samsung;5.826,90;4.733,05;10;508,93
Geladeira/Refrigerador Inverse Frost Free 443L Brastemp BRE57AK Inox 220V;5.070,39;5.070,39;1;5.070,39
Geladeira/Refrigerador Side By Side Frost Free 540L Brastemp BRO80AK Inox 127V;6.393,39;6.393,39;1;6.393,39
Refrigerador Electrolux Frost Free 310 Litros Branco TF39  127 Volts;3.197,00;2.264,40;12;222,00
Geladeira Consul Frost Free CRM39 Duplex 340 litros com Prateleiras;3.149,00;2.401,17;12;235,41
Geladeira Frost Free Electrolux 454 Litros Inverse Inverter Branca  (IB53);5.439,00;3.626,07;12;324,92
Geladeira/Refrigerador Philco Frost Free;7.600,00;4.934,21;10;519,39
Refrigerador Philco 403 Litros Inverter French Door Inverse Inox PRF411I  127 Volts;5.759,00;4.079,15;12;399,92
Geladeira Consul Frost Free Duplex 397 litros Branca com freezer embaixo 127V - CRE44AB;3.649,44;3.102,02;12;304,12
Geladeira Brastemp Frost Free Duplex 375 litros com Espaço Adapt - BRM45HB;3.739,00;3.389,00;12;282,42
Geladeira/Refrigerador Esmaltec 276 Litros, RCD34, Cycle Defrost, 2 Portas, Preto;2.199,00;1.994,05;10;209,90
Refrigerador Bottom Freezer Inverter Electrolux de 02 Portas Frost Free com 454 Litros Painel Blue Touch - IB53X;5.621,75;4.994,00;12;416,17
Geladeira Frost Free Electrolux 598 Litros Inverse Branca (DB84);6.169,00;4.370,07;12;391,58
Geladeira Frost Free Electrolux Electrolux 454 Litros Inverse Inverter Cor Inox  (IB53X);6.009,00;4.649,07;12;416,58
Refrigerador 245 Litros Esmaltec 1 Porta Classe A ROC31;1.758,90;1.413,80;10;152,02
Refrigerador Electrolux Cycle Defrost 2 Portas 260 Litros DC35A 220V;2.013,57;1.711,53;12;167,80
Geladeira/Refrigerador Philco Frost Free ;8.400,00;5.699,05;10;599,90
Refrigerador Electrolux Frost Free 310 Litros Branco TF39  220 Volts;2.638,96;2.243,12;12;219,91
Refrigerador Electrolux 2 Portas Frost Free 371L Platinum 127V DFX41;3.410,59;2.649,00;12;259,71
Geladeira/Refrigerador Electrolux Frost Free 553L;6.440,00;4.749,05;10;499,90
Refrigerador Panasonic Frost Free 2 Portas NR-BT40BD1W 387 Litros Branco 110V;2.799,00;2.213,10;12;204,92
Geladeira Consul Frost Free Duplex 397 litros Evox com freezer embaixo - CRE44AK;4.519,00;4.309,00;12;359,08
Refrigerador Brastemp Frost Free Inverse 443L Inox 220V BRE57AK;4.999,00;4.099,00;12;401,86
Geladeira French Door Eco Inverter Philco Frost Free Inox PRF380l - 110V;4.650,50;3.952,93;12;387,54
Geladeira/Refrigerador Frost Free 500L Brastemp BRM57AB Branca 127V;5.070,39;4.309,83;10;507,04
Geladeira Brastemp Frost Free Duplex 500 litros Branca com Turbo Control;4.759,00;4.759,00;1;4.759,00
Geladeira/Refrigerador Electrolux Frost Free;5.600,00;4.599,00;10;459,90
Geladeira Refrigerador Electrolux 260 Litros Defrost 2 Portas Classe A DC35A;2.623,90;1.682,37;10;180,90
Refrigerador Electrolux 310L 2 Portas Platinum Frost Free 127V TF39S;3.069,00;2.599,00;12;254,80
Refrigerador Consul Domest 1 Porta 342L Branco CRB39AB 127V;2.076,67;1.869,00;12;173,06
Geladeira Consul 261l Degelo Seco Cra30f Branca 110v;1.621,11;1.459,00;12;135,09
Geladeira Top Freezer Electrolux 474 Litros Frost Free Branco DF56 - 110V;3.830,24;3.255,70;12;319,19
Geladeira Refrigerador Brastemp 540 Litros 3 Portas Frost Free Syde Inverse Classe A Bro80Akana;8.425,90;6.844,14;10;735,93
Geladeira Top Freezer Electrolux 431 Litros Frost Free Branco TF55 - 220V;3.185,70;2.707,85;12;265,48
Geladeira/Refrigerador Brastemp Frost Free Inverse;8.400,00;6.079,05;10;639,90
Geladeira Continental Frost Free Branco 370 Litros TC41 127V;2.482,23;2.109,90;12;206,85
Geladeira/Refrigerador Frost Free Inox 371L Electrolux (DFX41);3.629,00;2.882,07;12;258,25
Refrigerador 385 Litros 2 Portas RT38K5A0KS9/FZ Frost Free Samsung;4.478,90;3.637,61;10;391,14
Refrigerador Electrolux Cycle Defrost 260L Branco 220v - DC35A;2.314,14;1.967,02;10;231,41
Geladeira Brastemp Frost Free 400L Duplex BRM54HK Evox 110V;4.199,00;3.194,10;12;295,75
Geladeira Frost Free Consul CRM56HK 450 Litros Espaço Flex Inox 110V;3.999,00;3.172,50;12;293,75
Geladeira/Refrigerador Cycle Defrost Electrolux 475L Branco (DC51);3.999,00;2.975,07;12;266,58
Refrigerador Consul Frost Free Duplex 410 Litros com Espaço Flex e Controle Interno de Temperatura Branco CRM50HB  127 Volts;3.397,92;2.888,23;12;283,16
Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR-BB53 425 Litros Tecnologia Inverter Aço Escovado;4.199,00;3.799,05;10;399,90
Geladeira Top Freezer 402L Branco (DF44);0;0;0;0
Geladeira Electrolux Cycle Defrost 2 Portas DC51 475L Branca 110V;3.599,00;2.788,20;12;258,17
Geladeira Refrigerador Electrolux 2 Portas 260 Litros Defrost - DC35A;2.299,90;1.979,91;12;183,33
Refrigerador Electrolux 431 Litros TF55 Branco  127 Volts;4.115,00;2.914,65;12;285,75
Refrigerador Philco 437 Litros Side By Side Eco Inverter Inox PRF533I  220 Volts;5.878,00;4.163,30;12;408,17
Geladeira/Refrigerador Smart LG Side by Side;18.550,00;11.399,91;10;1.199,99
Geladeira refrigerador panasonic nr-bb53gv3b preta 127v;4.665,56;4.199,00;12;388,80
Refrigerador Brastemp 2 Portas Branco 375l Frost Free 127v;3.469,41;2.949,00;12;289,12
Refrigerador Electrolux Inverter 431 Litros Platinum IF55S - 127 Volts;5.038,00;3.568,30;12;349,83
Refrigerador Philco 403 Litros Inverter French Door Inverse Inox PRF411I  220 Volts;5.759,00;4.079,15;12;399,92
Geladeira Consul Frost Free CRM39 Duplex 340 litros com Prateleiras;3.520,47;2.677,42;10;314,99
