Notebook;preco;preco_desconto;parcelas;valor_parcela
"Notebook Dell Alienware m15 R6 AW15-i1100-M20PB 15.6"" FHD 11ª ger Intel Core i7 16GB 1TB SSD RTX 3060 Win 11 + Mochila";13.599,00;13.279,00;12;1.106,58
Notebook Gamer 15.6pol Lenovo Ideapad 3i 82CG0005BR (i7 10750H, 16GB DDR4, 512GB nVME + HD 500GB, GTX 1650 4GB, W10 Pro);10.747,04;10.209,69;12;895,59
"Notebook Asus Gamer, Intel Core i5 9300H, 8GB, 256GB SSD, Tela 15,6"" Full HD 120Hz, NVIDIA GTX 1650, Windows 10 Home -  X571GT-AL887T";6.088,78;6.088,78;1;6.088,78
Notebook Gamer Acer NITRO 5 AN515-55-59MT 144HZ Intel Core I5 Windows 10 Home 16GB 512GB SSD GTX 1650TI 15,6';10.099,00;8.264,05;12;724,92
"Notebook Dell Alienware m15 R6 AW15-i1100-M30P 15.6"" FHD 11ª ger Intel Core i7 16GB 1TB SSD RTX 3070 Win 11";14.199,00;13.999,00;12;1.166,58
MSI GL66 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3060 SSD 1Tb NVMe RAM 32Gb;30.600,00;29.070,00;12;2.550,00
Asus Zephyrus G14 (Laptop Gamer) RTX 3060 Ryzen9 5900HS tela 14' SSD 1Tb NVMe RAM 16Gb;22.200,00;21.090,00;12;1.850,00
Notebook Gamer Acer Nitro 5 i5 8GB 1TB+128GB SSD 15.6 Win10;0;0;0;0
Notebook Acer Gamer - Tela 15.6 Full HD, i7 10750H, RAM 32GB, SSD 512GB, GeForce RTX 2070, Windows;12.829,99;12.188,49;12;1.069,17
"Notebook Gamer Acer Nitro 5, AMD Ryzen R5 4600H, 8GB, SSD 512GB, GTX 1650 Ti 4GB,15,6"" AN515-44-R54Q";9.589,99;9.110,49;10;959,00
Notebook Gamer Acer Aspire Nitro 5 AN515-54-574Q - Intel Core i5 8GB 512GB SSD 15,6” NVIDIA GTX1650;9.580,23;7.181,02;12;629,91
Razer Blade 14 (Gamer) RTX 3060 AMD Ryzen9 5900HS tela 14' SSD 2Tb NVMe RAM 16Gb;28.000,00;26.600,00;12;2.333,33
"Notebook Gamer Dell G15-i1000-U20P 15.6"" FHD 10ª Geração Intel Core i5 8GB 512GB SSD NVIDIA GTX 1650 Linux";6.349,00;6.349,00;1;6.349,00
Notebook Gamer Acer AN515 - IPS Full HD, AMD Ryzen 5, 32GB, SSD 128GB + HD 1TB, GeForce GTX 1650;8.899,99;8.454,99;12;741,67
"Notebook Gamer Dell G15-a0700-MM20P 15.6"" FHD AMD Ryzen 7 16GB 512GB SSD NVIDIA RTX 3060 Windows 11";9.499,00;9.499,00;1;9.499,00
Gigabyte Aero 15 (Laptop Gamer) i9-11980HK tela 15' UHD 4K Nvidia RTX 3080 SSD 4Tb NVMe RAM 64Gb;63.900,00;60.705,00;12;5.325,00
"Notebook Dell Alienware m15 R6 AW15-i1100-M10P 15.6"" FHD 11ª ger  Core i7 16GB 512GB SSD RTX 3060";19.532,12;18.555,51;12;1.627,68
MSI GP66 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3080 SSD 1Tb NVMe RAM 32Gb;41.500,00;39.425,00;12;3.458,33
"Notebook Gamer 2AM E550 NVIDIA GeForce GTX 1050 3GB - Windows 10 Home Core i7-9700 8GB  1TB + SSD 128GB FullHD 15.6""";7.999,00;7.499,00;10;749,90
MSI GP66 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3070 SSD 1Tb NVMe RAM 32Gb;36.400,00;34.580,00;12;3.033,33
Notebook Gamer Aspire Nitro 5 AN515-44-R5YZ AMD Ryzen 5 16GB 512GB SSD GTX1650 15,6' Full HD Endless;6.699,00;6.364,05;12;558,25
"Notebook Gamer Dell G15-i1100-M30PB 15.6"" FHD 11ª Ger Intel Core i5 8GB 512GB SSD NVIDIA RTX 3050 Windows 11 + Mochila";7.499,00;7.379,00;12;614,92
"Notebook Dell Alienware m15 R6 AW15-i1100-M30M 15.6"" FHD 11ª Intel Core i7 16GB 1TBSSD RTX 3070 Win11 + Monitor AW2521HF";18.529,00;17.679,00;12;1.473,25
"Notebook Gamer Dell G15-a0700-MM20PB 15.6"" FHD AMD Ryzen 7 16GB 512GB SSD NVIDIA RTX 3060 Windows 11 + Mochila";9.899,00;9.499,00;12;791,58
"Notebook Gamer 2AM E550 NVIDIA GeForce GTX 1050 3GB - FreeDOS Core i7-9700 16GB  SSD NVMe 128GB + 1TB FullHD 15.6""";7.499,00;6.999,00;10;699,90
"Notebook Gamer Dell G15-i1000-M20P 15.6"" FHD 10ª Geração Intel Core i5 8GB 512GB SSD NVIDIA GTX 1650 Windows 11";6.499,00;6.499,00;1;6.499,00
Notebook HPCM 445 G7 RYZEN7 8GB SSD 256GB W10P -1H9L6LAAC4;8.997,93;8.368,07;10;899,79
