Notebooks;preco;parcelas;valor_parcelas
Notebook Lenovo V15 G2 ITL CORE_I7-1165G7_2.8G_4C_MB 8GB(8 256GB Windows10Pro64-bits;9.513,29;10;951,33
Notebook Lenovo V15 G2 ITL CORE_I7-1165G7_2.8G_4C_MB 8GB(8 256GB Windows10Pro64-bits;10.911,19;10;1.091,12
Notebook Lenovo 300e Chrome Gen 2 Celeron N4020 4GB 32GB GoogleChromeOS;4.958,82;10;495,88
Minerador de Bitcoin e Etherum - RTX3080 ;28.598,90;10;2.859,89
Notebook ASUS X543UA-DM3457T, Intel Core i5 - 8250U, RAM 8 GB, SSD, 256 GB, Windows 10 Home - Cinza Escuro;6.299,00;10;629,90
Notebook ASUS X543UA-DM3458T, Intel Core I5 8250U, Intel® HD graphics 620, 4GB, 256GB, SSD, Windows 10 Home - Cinza Escuro;4.999,00;10;499,90
Notebook ASUS X515JF-EJ153T, Intel Core i5 - 1035G1, 8GB, 256GB SSD, Placa de 2GB Nvidia - Cinza;6.999,00;10;699,90
Notebook ASUS X515JA-EJ592T, Intel Core i5-1035G1, Intel® HD Graphics 620, 8GB, 256GB, SSD, Windows 10 Home - Cinza;5.299,00;10;529,90
Notebook ASUS X509JA-BR423T, Intel Core i5-1035G1, RAM 8 GB, HD 1 TB, Windows 10 Home - Cinza Escuro;6.999,00;10;699,90
"Lenovo C340-15 2-in-1 15.6&quot; Touch-Screen Chromebook Intel Core i3 4GB Memória 64GB eMMC Flash Memory - Mineral Gray 81T9000VUS";9.082,00;10;908,20
"ASUS Chromebook Flip C436 2-in-1 14&quot; Touchscreen FHD Laptop i5-10210U 16GB 512GB Wi-Fi 6 Magnesium Alloy - Branco C436FADS599TW";15.971,00;10;1.597,10
"Lenovo Chromebook Duet 10.1&quot;- Tablet 128GB com Teclado - Ice Blue ZA6F0016US";6.332,00;10;633,20
"Samsung 15.6&quot; Chromebook Intel Celeron 4GB Memória 128GB eMMC Flash Memory - Platinum Titan XE350XBA-K05US";6.745,00;10;674,50
