Geladeira;preco;parcelas;valor_parcelas
Refrigerador Electrolux 2 Port Frost Free 371L Platinum;2.699,00;10;269,90
Refrigerador Electrolux Frost Free 371 Litros Branco DFN41;2.897,61;11;263,42
Refrigerador Brastemp 2 Portas Branco 375L Frost Free;2.799,00;11;254,45
Geladeira/Refrigerador Consul 2 Portas CRD37 334L Branco - Consul;2.199,00;10;219,90
Refrigerador Panasonic NR-BB71PVFXA com Tecnologia Smartsense Aço Escovado - 480L ;4.799,00;12;399,92
Refrigerador Electrolux Frost Free 553 Litros Branco DF82;5.298,60;12;441,55
Geladeira/Refrigerador - Tf55S Top Freezer 431L Platinum S ;3.799,00;12;316,58
Refrigerador Panasonic Frost Free NR-BT55PV2W Tecnologia Econavi Branco - 483 Litros;3.399,00;12;283,25
Refrigerador Frost Free Electrolux 310L Branco 220v - TF39;2.833,95;11;257,63
Refrigerador Electrolux DM85X Inverter Multidoor com Painel Blue Touch Inox – 538L;11.699,00;12;974,92
Refrigerador Brastemp Frost Free BRY59BK Inverse 3 com Freeze Control Pro Inox – 419 Litros;5.899,00;12;491,58
Refrigerador Panasonic Frost Free 2 Portas Bottom Freezer NR-BB53 425 Litros Preto;4.699,00;12;391,58
Refrigerador Brastemp BRM59AB Frost Free com Cooling Control 478L - Branco;4.299,00;12;358,25
Geladeira / Refrigerador Frost Free Duplex Brastemp BRM56AB, Branca, 462 litros;3.799,00;12;316,58
Refrigerador Electrolux Frost Free 454 Litros Branco DB53;4.598,21;12;383,18
Geladeira Brastemp 400L Evox BRM54HKA;3.699,90;12;308,32
Geladeira/Refrigerador Top Freezer 431L;3.499,00;12;291,58
Refrigerador Duplex Consul Cycle Defrost 334L CRD37EB;1.899,00;10;189,90
Refrigerador Samsung Inverter French Door RF23R com Tecnologia Twin Cooling Plus e SmartThings (Wi-Fi) Inox - 536L;15.699,00;12;1.308,25
Geladeira Brastemp Frost Free 443L;3.999,00;12;333,25
Refrigerador Electrolux Top Freezer Df56s Platinum;4.899,90;12;408,32
Refrigerador Electrolux Top Freezer 431L Branco 127V TF55;3.332,22;12;277,68
Geladeira/Refrigerador Electrolux Frost Free 2 Portas Top Freezer DF56 474 Litros;4.354,97;12;362,91
Refrigerador Brastemp 375L 2 Portas Evox Frost Free;2.999,00;12;249,92
