Livro;preco;parcelas;valor_parcelas
 The Originals: Ascensão - Volume 1 - Julie Plec;32,90;1;32,90
 The Witcher - O Último Desejo - Andrzej Sapkowski;38,27;1;38,27
 Fragmentados - Neal Shusterman;38,16;1;38,16
 Crônicas de Blackwell - Os Lobos de Loki - Volume 1 - K. L. Armstrong e M. A. Marr;29,50;1;29,50
Feitiço - Joseph Delaney;99,90;2;49,95
 Trilogia Elenium - O Trono de Diamante – Volume 1 - David Eddings;30,90;1;30,90
 O Diamante Maldito;55,00;1;55,00
 Oceanos De Magia;52,43;1;52,43
 Cidade da Penumbra;19,30;1;19,30
 A Maldição do Tigre - Volume 1 - Colleen Houck;48,64;1;48,64
 A Aprendiz: Ela Lutou Contra Seu Poder, Mas Para Sobreviver Teve Que se Tornar um Deles - Trudi Canavan;46,66;1;46,66
 Dark Eden: o Medo é a Cura - Patrick Carman;31,90;1;31,90
 Blue Bloods: o Legado dos Van Alen - Volume 4 - Melissa de La Cruz;38,95;1;38,95
 1Q84 - Livro 2 - Haruki Murakami;47,30;1;47,30
 Assassins's Creed: Bandeira Negra - Oliver Bowden;41,42;1;41,42
 Quando Tudo Volta - John Corey Whaley;40,00;1;40,00
 Kass Morgan;47,90;1;47,90
 O Meu Nome é Ninguém: o Juramento - Valerio Massimo Manfredi;25,35;1;25,35
 A Guerra dos Tronos - HQ - Volume 3 - George R. R. Martin;35,00;1;35,00
 A Saga do Bruxo Geralt de Rivia - Tempo de Desprezo - Volume 4 - Andrzej Sapkowski;37,91;1;37,91
 Hannah e Emil - Belinda Castles;20,90;1;20,90
 Condenada - Volume 1 -  Chuck Palaniuck;38,47;1;38,47
 World of Warcraft: Crepúsculo dos Aspectos - Christie Golden;47,90;1;47,90
 O Código Perdido – Volume 1 - Kevin Emerson;49,90;1;49,90
 The Walking Dead: Declínio - Volume 5 - Robert Kirkman e Jay Bonansinga;41,42;1;41,42
 Neil Gaiman, Michael Reaves e Mallory Reaves;22,82;1;22,82
 Vingadores: Todos Querem Dominar o Mundo - Dan Abnett;23,68;1;23,68
 Daniel Mastral;49,90;1;49,90
Fragmentos;38,95;1;38,95
Agente 6;67,90;1;67,90
Sombras Eternas;47,90;1;47,90
Alfabeto Dos Ossos;58,79;1;58,79
 A Rainha Vermelha - Victoria Aveyard;35,89;1;35,89
 O Gigante Enterrado - Kazuo Ishiguro;50,32;1;50,32
 Memória da Água - Emmi Itaranta;37,91;1;37,91
Monstrocity;138,43;2;69,22
 Stephen J. Sansweet;149,93;2;74,96
 Isaac Asimov;37,91;1;37,91
 Garota Oculta: a História Real de uma Menina Escrava nos Dias de Hoje - Shyima Hall;31,36;1;31,36
 20 Mil Léguas Submarinas: Edição Bolso De Luxo - Jules Verne;39,92;1;39,92
 As Crônicas de Starbuck - Rebelde - Volume 1 - Bernard Cornwell;47,90;1;47,90
 Assassin’s Creed: Unity - Oliver Bowden;47,90;1;47,90
 O Voo da Guará Vermelha - Maria Valéria Rezende;35,40;1;35,40
 Que Sejamos Perdoados - A.M. Homes;59,90;1;59,90
 World Of Warcraft: Crimes de Guerra - Christie Golden;41,42;1;41,42
 Atrás do Espelho - Volume 2 - A. G. Howard;42,41;1;42,41
 A Espada Juramentada - Livro II - George R. R. Martin;40,00;1;40,00
 O Cavaleiro Andante - Livro I - George R. R. Martin;40,00;1;40,00
 A Legião  - Marcela de Jesus;39,90;1;39,90
 As Aventuras do Bom Soldado Svejk - Jaroslav Hasek;70,90;1;70,90
 Contos em Trânsito: Antologia da Narrativa Argentina;43,30;1;43,30
 Diablo III: Tempestade de Luz - Nate Kenyon;35,24;1;35,24
 O Voto de Lenobia - P. C. Cast e Kristin Cast;25,00;1;25,00
 Doctor Who - Shada - Douglas Adams e Gareth Roberts;39,92;1;39,92
 Vivencias Sobre Liderança - Artur Coutinho;44,90;1;44,90
Livro –  ENSAIO, O;52,43;1;52,43
 À Caça de Harry Winston - Lauren Weisberger;30,95;1;30,95
 Declarando-se Culpado - Scott Turow;30,95;1;30,95
 Morto ou Vivo  - Tom Clancy e Grant Blackwood;59,93;1;59,93
 Boneco de Neve - Jo Nesbo;47,40;1;47,40
 1356 - Bernard Cornwell;52,16;1;52,16
 God of War - Volume 2 - Robert E. Vardeman;36,34;1;36,34
 Aprendiz de Assassino - Robin Hobb;35,90;1;35,90
 O Livro Perdido de Enki: Memórias e Profecias de um Deus Extraterrestre - Zecharia Sitchin;30,47;1;30,47
 Filhos do Éden: Anjos da Morte - Livro 2 - Eduardo Spohr;51,27;1;51,27
 Sobrenatural 2: Solo Consagrado - Cynthia Hand;38,95;1;38,95
 A Viagem do Tigre - Volume 3 - Colleen Houck;47,92;1;47,92
 Diários do Vampiro - Diários de Stefan: Sede de Sangue - Volume 2 - Kevin Williamson e Julie Plec;34,35;1;34,35
 O Ouro de Manifesto: Suspense Histórico - Eric Frattinni;40,87;1;40,87
 Pegasus e a Batalha Pelo Olimpo - Volume 2 - Kate O’Hearn;25,33;1;25,33
 XY;35,50;1;35,50
 A Noiva do Tigre;35,00;1;35,00
 A Profecia de Nostradamus ;67,90;1;67,90
 O Ano do Dilúvio;50,68;1;50,68
 Pegasus e o Fogo do Olimpo - Volume 1 - Kate O' Hearn;20,70;1;20,70
 Crônicas do Mundo Emerso - O Talismã do Poder - Volume 3;38,30;1;38,30
 Até Mais e Obrigado Pelos Peixes! - Douglas Adams;31,92;1;31,92
 O Cacador de Autógrafos - Zadie Smith;58,32;1;58,32
 O Fantasma da Infância;41,90;1;41,90
 Cândido ou o Otimismo - Voltaire;39,90;1;39,90
 A Reunião: um Passado Esquecido, um Segredo Assustador - Simone Van Der Vlugt;67,90;1;67,90
 Walking Dead: o Caminho Para Woodbury - Volume 2 - Robert Kirkman e Jay Bonansinga;40,00;1;40,00
 Explorando o Universo do Hobbit - Corey Olsen;21,46;1;21,46
 As Duas Faces do Destino - Landulfo Almeida;29,90;1;29,90
 Estado de Graça - Ann Patchett;23,90;1;23,90
 A Obra-Prima de Cada Autor - Um Estudo em Vermelho - Arthur Conan Doyle;23,24;1;23,24
 Moby Dick: Edição Bilíngue - Português/Inglês - Herman Melville;59,25;1;59,25
 Fora do Tempo - David Grossman;37,80;1;37,80
 A Guardiã - Melissa Marr;31,90;1;31,90
 Assassin's Creed - A Cruzada Secreta - Volume 3 - Oliver Bowden;47,41;1;47,41
 A Companhia Negra - Glen Cook;47,90;1;47,90
 A Maravilha das Pequenas Coisas - Dawn French;38,27;1;38,27
 A Vassoura Do Ar Encantado - Zetho Cunha Gonçalves;31,03;1;31,03
 Filhas do Sangue - Volume 2 - Licia Troisi;21,88;1;21,88
 Trilogia da Escuridão - Noite Eterna - Volume 3 - Guillermo del Toro e Chuck Hogan;35,10;1;35,10
 Cantiga de Sangue - Melvin Burgess;37,64;1;37,64
