nome;preco_a_vista;parcelas;preco_parcelado
Freezer e Refrigerador Horizontal Metalfrio  DA302 1 tampa 293 litros Branco  - Dupla Ação;2,399,99;12;199,99
Geladeira Refrigerador Esmaltec 276L Duplex Inox RCD34 Cinza - 127v;1,889,10;1;0
Geladeira/Refrigerador Continental TC56 Branca 472L;3,098,99;12;258,24
Frigobar Brastp Retrô 76 Litros Ice White 110V BRA08BBANA;1,886,63;1;0
Refrigerador Frost Free Duplex Branca 472 Litros (TC56) - Continental;2,283,33;1;0
Refrigerador Panasonic 425L Black Glass Frost Free Bb53gv3Ba Preto 127v;3,999,90;0;0
Side By Side Philco PRF520DI – Geladeira e Freezer;6,479,31;0;0
Geladeira Panasonic NR-BB53GV3WA 2 Portas 425L White Glass;4,899,99;12;408,33
Geladeira/refrigerador Frost Free Bottom Freezer Inverter Inox 454 Litros (ib53x);4,899,00;12;408,25
Freezer Horizontal Consul CHB42 2 Portas 404 Litros;3,589,00;10;358,9
Geladeira/Refrigerador Philco PRF406 French Door Frost Free;4,448,19;0;0
Refrigerador | Geladeira Electrolux Frost Free 2 Portas 553 Litros Inox - DF82X;4,370,07;1;0
Frigobar Philco PFG85PL Inox 67L;1,198,99;12;99,91
Frigobar Midea 71L Branco 1 Porta Reversível 2 Prateleiras de Vidro;874,65;0;0
Frigobar Gallant Venezia 46L Branco 127V;679,99;1;0
Frigobar Eos Ice Compact 71L Branco Efb80 - 220V;755,65;1;0
Refrigerador Side by Side LG de 02 Portas Frost Free com 601 Litros, Moist Balance Crisper, Aço Escovado - GC-L247S;10,064,56;1;0
Geladeira/Refrigerador Frost Free Bottom Freezer 598 Litros (DB84);5,737,17;1;0
Side By Side Philco PRF520DI – Geladeira e Freezer;6,769,47;0;0
Frigobar Eos Ice Compact 47L Efb50 Branco 110V;628,15;1;0
Freezer e Refrigerador Horizontal Esmaltec 468 Litros ECH500;2,899,00;10;289,9
Geladeira Panasonic Frost Free NR-BT42BV1X 387L Aço Escovado;2,998,99;12;249,91
Freezer Horizontal Metalfrio NF20S Tampa de Vidro para Sorvetes e Congelados 180 Litros;2,599,00;10;259,9
Geladeira Mágica Magic Toys Rosa/Lilás;217,84;1;0
Geladeira/Refrigerador Electrolux 1 Porta RFE39 com Congelador 322 Litros - Branco;1,889,10;1;0
Geladeira Philco Frost Free Side By Side 2 Portas 489 Litros PFR504I;4,641,63;0;0
Refrigerador Philco 437 Litros Side By Side Eco Inverter Inox PRF533I – 127 Volts;3,908,30;0;0
Geladeira/Refrigerador Frost Free 371 Litros Electrolux DFN41 Branca 127V;2,749,58;1;0
Geladeira/Refrigerador Continental TC41S Platinum 370L Frost Free;2,598,99;12;216,58
Geladeira Continetal Automática Frost Free 2 Portas TC41 370 Litros;2,281,66;0;0
Geladeira Panasonic Frost Free 387L NR-BT40BD1X Aço Escovado;3,439,99;12;286,66
Frigobar Midea 93 Litros Inox 127V;1,089,90;0;0
Geladeira Consul CRE44 Frost Free Duplex 397 Litros Branca Com Freezer baixo;3,548,00;12;295,66
Cilindro De Gás Brastp;99,9;10;9,99
Base Móvel Para Geladeira E Lavadora Regulável;120,8;1;0
Geladeira Electrolux DC35A 260 Litros Cycle Defrost Duplex 110V;1,979,10;1;0
Refrigerador 02 Portas Panasonic ff 387L In NR-BT42BV1X 110V;2,699,10;1;0
Geladeira/Refrigerador Continental TC56S Platinum 472L Top Freezer;3,089,00;12;257,41
Freezer e Refrigerador Horizontal Esmaltec 230 Litros ECH250;1,889,10;1;0
Geladeira Panasonic Freezer Inverter Bottom 2 Portas Frost Free 425l Nr-bb53pv3wb Branco;3,419,10;1;0
Frigobar Brastp Retrô BRA08BZ Azul 76L;1,838,23;1;0
Frigobar 45 Litros Midea Classe A MRC06B1;668,86;1;0
Frigobar Gallant Venezia 71L Branco 127V;734,04;1;0
Frigobar Midea 124L;934,15;0;0
Geladeira Infantil Branca E Rosa Com Acessórios Magic Toys;187,64;1;0
Refrigerador Brastp Frost Free 3 Portas Inverse BRY59BK 419 Litros;5,608,83;0;0
Geladeira/Refrigerador Side by Side Midea 528 Litros Frost Free Inox MD-RS587FGA - 110V;5,579,07;0;0
Geladeira/Refrigerador Samsung Duplex RT38K5A0KWW Branca 385L com All-Around Cooling - Bivolt;3,429,99;12;285,83
Geladeira / Refrigerador Brastp Frost Free Side by Side BRO80ABANA  Inverse  -  540 litros Branco;6,092,43;0;0
Geladeira/Refrigerador Samsung Duplex RT46K6A4KS9 Inox Look 460L com All-Around Cooling - Bivolt;4,299,99;12;358,33
Tampa da Gaveta de Legumes para Geladeira Brastp - W10347201;129;12;10,75
Frigobar Midea, 124 Litros, Branco – MRC12B2;934,15;0;0
Geladeira/Refrigerador Continental TC44S Platinum 394L Top Freezer;2,793,79;12;232,81
Lâmpada Led E14 Geladeira Electrolux 1,4W;37,9;1;37,9
Batedor De Milk Shake, Copo Inox, 1 Haste bms-n - Skymsen 127V;616,02;1;0
Filtro de Água Externo para Refrigerador Electrolux Side By Side  Modelos SH70B / SH70X / SH72B / SH72X / SS72B / SS72X / SS90X;129,9;12;10,82
Geladeira Brastp Frost Free 478 Litros - BRM59 Branco;4,158,03;0;0
Frigobar Philco 103 Litros Pfg112b;1,034,10;1;0
Geladeira Sonho De Menina Infantil Sweet Fantasy Cardoso;75,9;1;0
Freezer Horizontal Electrolux H162 1 Porta 149L Branco;1,899,00;10;189,9
Cozinha Infantil com Refrigerador Diana - Ofertamo;759,05;1;0
Protetor Contra Queda De Energia Pw Para Freezer E Geladeira;47,12;1;0
Filtro de Água para Refrigerador Samsung Side by Side HAF-CIN/EXP;229;12;19,08
Refrigerador Panasonic Bt55 Frost Free Nr- Bt55pv2w;3,699,00;12;308,25
Refrigerador Vertical Gelopar GPTU-40 Branco 414L;4,099,99;12;341,66
Frigobar Philco 85L Porta de Vidro PFG85PG;1,836,75;0;0
Frigobar Eos Ice Compact 47L Efb50 Branco 220V;628,15;1;0
Refrigerador Panasonic 425l Frost Free Bb53pv3xa Inox 110v;3,599,90;0;0
Refrigerador Midea Top Mount Freezer 480 litros 2 Portas e Degelo Automático;3,275,10;1;0
Freezer Horizontal Consul CHA22EB 1 Porta 220 Litros Branco;2,199,90;10;219,99
Geladeira Brastp Frost Free 478 Litros - BRM59 Inox;4,835,07;0;0
Refrigerador 276 Litros 111W Rcd34 Preto Esmaltec;1,889,10;1;0
Combo 3 Filtros de Água Side by Side Brastp (BR906AX);512,54;1;0
Capa grossa impermeável Maquina De Lavar Brastp/Electrolux/Consul 12 13 14 15 16kg C Zíper Desenho Pet Azul Gato G;65,9;6;10,98
